Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54542922973633,35.424697482052096,26.900123201294626,29.0514868911543,855215656
1,2007-10-08,30.879329681396484,33.6453667623481,30.68522096927368,33.6453667623481,126671715
2,2007-10-09,32.98217010498047,33.27333102819074,29.229417128249786,30.895508777439975,116725709
3,2007-10-10,33.28950881958008,33.96888726698826,32.998347881527316,33.83948069921518,67931378
4,2007-10-11,37.00990295410156,38.8215770162382,32.99834178018052,38.8215770162382,106320954
5,2007-10-12,36.76726150512695,38.142191798388325,35.90995290573742,36.23346591591656,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.05381393432617,41.700844422111814,37.042252992785215,37.301061677558216,138614496
8,2007-10-17,44.25660705566406,45.29184642634732,34.32475013602845,36.88050514839878,204876259
9,2007-10-18,42.703739166259766,48.349044673798645,40.87589097789229,44.9683309293873,146617799
10,2007-10-19,42.558162689208984,44.28895877280891,40.439149103294625,41.73320159377269,110266491
11,2007-10-22,41.99201583862305,43.30224226481981,40.600906741698125,41.70085489812684,72253405
12,2007-10-23,44.98450469970703,45.38889604536594,43.027247953961755,43.027247953961755,74594921
13,2007-10-24,44.288963317871094,46.42415102386459,43.78751529359426,45.93887690220752,63055170
14,2007-10-25,44.191890716552734,45.22713419501735,39.03185599683841,42.784608121364606,34522489
15,2007-10-26,45.51830291748047,46.246207379950434,43.755154797660126,44.96832890177674,62370025
16,2007-10-29,46.440311431884766,47.55643325031077,46.03592010461835,46.26238100305824,43657697
17,2007-10-30,47.47557067871094,48.75344506253978,45.68006995935886,47.07117921776608,79921711
18,2007-10-31,48.46226501464844,49.52986068411947,47.556430253818284,47.7181867745327,44655368
19,2007-11-01,47.378517150878906,50.03132706093439,46.99030395609197,49.65928777045706,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.22251892089844,50.30628842961258,47.9122885400615,48.203453772198294,38833135
22,2007-11-06,49.869564056396484,53.02381724977588,49.19018556792919,50.0798467250362,81880281
23,2007-11-07,49.14164733886719,51.50329098122448,48.04170378472717,50.791564864040616,33593141
24,2007-11-08,48.300506591796875,49.610736990740946,47.232915352295436,47.87994140967238,27990521
25,2007-11-12,49.46515655517578,50.33864352634539,45.56682175472056,46.84470002959342,35153735
26,2007-11-13,50.6459846496582,51.665049985482575,48.704906147925286,50.306297667025746,43830531
27,2007-11-14,49.9827880859375,52.24737982998339,49.72397496814729,51.53564924096946,36738579
28,2007-11-15,50.82392883300781,51.71358997671887,49.8695633054921,50.92098102078698,29242252
29,2007-11-16,50.468055725097656,51.61652545129008,49.88572952432617,50.59746008484893,18895294
30,2007-11-19,52.295902252197266,54.188454668917274,51.22831083144599,51.616523899025076,40716718
31,2007-11-20,51.48713684082031,53.54144648951403,50.85628436066299,52.08563712416189,26342171
32,2007-11-21,47.47557067871094,52.10180723674885,46.32709629687063,51.794472359187665,26814499
33,2007-11-22,45.841819763183594,48.882846610027244,43.85221494720686,46.974115686349094,34096185
34,2007-11-23,48.88283920288086,49.174000089990145,46.132973703948856,48.85048701810719,27664090
35,2007-11-26,49.27106475830078,50.694521758184834,48.882851606293116,50.694521758184834,20159123
36,2007-11-27,48.05789566040039,50.1122052892405,47.556451972352185,50.1122052892405,20573198
37,2007-11-28,47.34615707397461,49.33576636932726,47.022643938200545,49.10930541911432,16435311
38,2007-11-29,46.068260192871094,48.78576832101707,45.4697603080714,48.526959694689104,25530967
39,2007-11-30,47.84761047363281,48.138771451143114,46.262396806807196,46.90942315146485,18437721
40,2007-12-03,48.52698516845703,49.12548536743358,48.05788935057404,48.42992859169096,16851227
41,2007-12-04,47.89613342285156,49.25489041246924,47.540268079101416,48.85049897364587,14008727
42,2007-12-05,49.80485153198242,49.98278636708058,47.87995124849518,47.9770034218744,27725290
43,2007-12-06,48.88283920288086,51.6488742123094,48.25198695753834,50.88861761579908,24104710
44,2007-12-07,48.67257308959961,49.88574762994284,47.799090053309726,49.19019510439847,11742386
45,2007-12-10,48.72107696533203,49.319572567934785,48.0902247938153,49.141642154392294,8330010
46,2007-12-11,48.494625091552734,49.432812186852786,48.2519902709789,49.15782517928368,11685950
47,2007-12-12,48.46226501464844,48.89900849816266,47.556430253818284,47.87994329524712,16342131
48,2007-12-13,47.65348815917969,49.17400139247456,47.47555772010192,48.526975231570695,14620172
49,2007-12-14,47.18439483642578,47.928477592054016,46.94176001375016,47.49173403365245,10991851
50,2007-12-17,44.337486267089844,47.718200260649056,43.67428171197001,47.45938712160436,19355678
51,2007-12-18,44.143367767333984,45.6153504418094,42.7684372561261,43.83602860377565,21607783
52,2007-12-19,43.33460235595703,45.95506007401994,42.962563064833,45.5668424906297,19526912
53,2007-12-20,42.89784622192383,44.25660298152633,42.703737486562446,43.90073769801832,17105204
54,2007-12-24,44.20806884765625,44.903621000492805,43.18899926948779,43.54486448821912,16711519
55,2007-12-26,45.5506591796875,46.100633244594526,44.450715437801016,44.450715437801016,20930094
56,2007-12-27,45.87417221069336,47.13587251172646,45.48595470825507,46.488846266281016,44565277
57,2007-12-28,46.230037689208984,46.424146441124854,45.29184611960357,45.777115805429446,18354518
