Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.726722717285156,36.35888456697438,34.32830408009384,35.97575617322334,53228400
2000-01-04,34.519866943359375,35.899129107577956,34.4049284296745,34.80721322757158,54119000
2000-01-05,34.88383102416992,35.66924402361581,33.52372558610509,34.06010519548276,64059600
2000-01-06,33.71530532836914,34.90300358425487,33.21723831783641,34.385780150240116,54976600
2000-01-07,34.155887603759766,34.404920996271755,32.8915642263912,33.29384893737211,62013600
2000-01-10,34.404937744140625,34.84553549921592,34.1367478062687,34.76890980268109,44963600
2000-01-11,33.52372360229492,35.01792385428293,33.31300305393764,34.17504166085379,46743600
2000-01-12,32.43180465698242,33.37046882012013,32.010363604145084,33.25553035116449,66532400
2000-01-13,33.0448112487793,33.29384460891503,31.110013604647875,31.991208571281987,83144000
2000-01-14,34.404937744140625,34.92216119575075,32.41266963423493,32.853267389310226,73416400
2000-01-18,35.343570709228516,35.70754244010946,34.25165551658568,34.27081192347415,81483600
2000-01-19,32.795780181884766,34.17504196523506,32.48927756336248,33.86853934671277,97568200
2000-01-20,32.489295959472656,33.61952500523261,32.450983110463845,32.814955176047555,56349800
2000-01-21,31.799659729003906,32.8724193343197,31.646408356815936,32.79579364822572,68416200
2000-01-24,31.03338050842285,32.3934854566315,30.899285654374108,31.814004123063732,63597600
2000-01-25,31.51232147216797,31.83798072142442,30.51618729797178,30.956785105789326,59823200
2000-01-26,30.458698272705078,31.72302159723246,30.382072616673117,31.397362559096617,49365000
2000-01-27,30.26714324951172,31.014243620860423,29.80738917483559,30.616747910463353,63654800
2000-01-28,30.1138916015625,30.726897028566317,29.80738888806059,30.07557876237476,58225400
2000-01-31,29.998937606811523,30.09471965536456,29.079429940702358,29.922311967969094,73194200
2000-02-01,31.550609588623047,31.646391645661975,29.941471030369048,30.190504378670262,70196600
2000-02-02,30.899301528930664,31.857122407074826,30.803519441116247,31.397368385565628,49915600
2000-02-03,31.761337280273438,31.933745021843073,30.688577999395683,31.28242688702444,49186000
2000-02-04,32.66169357299805,33.10229119890946,31.91938235542991,31.99121892487199,55365400
2000-02-07,32.680850982666016,32.75747665906148,31.952907056909094,32.73832023996262,40005800
2000-02-08,33.69614028930664,33.715296707890666,32.62338084860103,32.62338084860103,56229000
2000-02-09,31.876270294189453,33.542878176157295,31.83795746931663,33.542878176157295,55090000
2000-02-10,32.489295959472656,32.66170378001231,31.416536187225915,31.84276663244895,54527800
2000-02-11,30.631107330322266,32.14446410273969,30.382073937392818,32.14446410273969,115559000
2000-02-14,30.53533363342285,31.186651916695357,30.3629258525566,31.028611450901295,81028600
2000-02-15,30.20966911315918,30.650266696927513,30.075574196360122,30.573641030185197,71027600
2000-02-16,29.92233657836914,30.707750022487666,29.769085174638697,30.42040364049308,65202600
2000-02-17,30.53533363342285,30.5544900535191,29.773865934596905,30.190518071690345,80343400
2000-02-18,29.136903762817383,30.66941678124302,29.079434524626425,30.6502603685127,79063000
2000-02-22,28.753793716430664,29.769084234066124,28.447290918653923,29.15607863851264,66296200
2000-02-23,28.88787841796875,29.347632451145973,28.21740378625197,28.65800140138014,75847200
2000-02-24,29.0411319732666,29.385947524400375,28.198249514939604,28.88788061720715,69733200
2000-02-25,27.987520217895508,29.02675565377561,27.738486841555574,29.02196655038446,65301400
2000-02-28,28.06414794921875,28.23655568406037,27.01054512518665,27.661863234588314,76131800
2000-02-29,27.3936767578125,28.121620615712413,27.240425419307254,28.121620615712413,58437400
2000-03-01,27.834272384643555,28.83998422235435,27.25957990595167,27.470300481472027,106889800
2000-03-02,28.619688034057617,29.232693400248948,27.930056997092375,28.140777591720642,106932600
2000-03-03,29.462568283081055,30.305450600672447,28.77293729596082,29.041127124285353,101435200
2000-03-06,27.776811599731445,29.845705153366616,27.6235602253881,29.424263873922413,93609400
2000-03-07,28.466440200805664,29.884015284829633,28.179093899989997,29.46257404363332,135061000
2000-03-08,29.2901668548584,29.481731059272125,27.891748162638216,28.753787082499972,94290000
2000-03-09,30.650272369384766,30.65027236938477,29.11775875091553,29.21354085206986,88198800
2000-03-10,30.956775665283203,31.41652975932206,30.497021571244343,30.516177991829295,85589000
2000-03-13,30.03725814819336,30.72688907506515,29.884006831110742,29.922319660381397,61831800
2000-03-14,29.15607261657715,30.42039639627103,29.15607261657715,30.228832187226505,73489200
2000-03-15,29.23270034790039,29.615828792827003,28.715476947249467,28.983666858698093,53208000
2000-03-16,29.23270034790039,29.634985215073332,28.581381991525152,29.405108148117368,77300800
2000-03-17,30.458698272705078,30.49701110072106,28.96449798008181,29.194374948177696,81161600
2000-03-20,29.845699310302734,30.57364319591987,29.577509457706945,30.26714050723897,47773000
2000-03-21,31.49314308166504,31.608081560065276,29.577501774994417,29.65412742726124,81648800
2000-03-22,31.646387100219727,32.37433062915941,30.995069205905278,31.512292239625577,93975800
2000-03-23,34.28998947143555,34.596492170621566,32.68085030070896,32.738319556806346,148224000
2000-03-24,34.23252487182617,35.247815200984974,33.58120654746014,34.51987119139942,112196800
2000-03-27,31.895437240600586,33.17891729772986,31.85712440307434,33.03045505231565,111434000
2000-03-28,31.97206687927246,32.92988793617098,31.37821782399538,31.76134624675479,81114400
2000-03-29,32.85326385498047,33.38964367302097,32.2211019265756,32.240258348648474,64363800
2000-03-30,31.68471908569336,33.29385838629689,31.416529202259436,32.54675799673097,64178400
2000-03-31,32.5659065246582,33.17891182394588,31.914588394165037,32.48928086224724,64281400
2000-04-03,27.853422164916992,29.577499190255732,27.585232405419852,28.945337614298193,260118200
2000-04-04,27.144643783569336,28.198246753291507,26.03357156095323,28.06415182987232,181244400
2000-04-05,26.474172592163086,27.125490875906603,26.320921231282256,27.048865195466192,82887600
2000-04-06,26.359233856201172,26.972239294717475,26.134145921745965,26.93392645481021,66421400
2000-04-07,27.297895431518555,27.39367752075195,26.052728271484373,26.665733642578125,82613600
2000-04-10,26.378393173217773,27.163806477576475,26.359236751160246,27.163806477576475,60685400
2000-04-11,25.707908630371094,26.378383147556626,25.592970141710715,26.091036925905684,71961800
2000-04-12,24.328645706176758,25.209840747502845,24.137081566758045,25.171527919619102,153003800
2000-04-13,24.29033851623535,25.209846598868868,24.21371284268256,24.788405394328507,94316200
2000-04-14,22.71950340270996,24.366954745570883,22.45131364922097,24.25201627978989,151217800
2000-04-17,23.255891799926758,23.29420463649995,22.374696558743373,22.75782492447528,119772200
2000-04-18,24.69261360168457,25.11405464065824,23.255882787001603,23.447446895626,91794600
2000-04-19,24.11794090270996,24.979980093037163,23.945533064644522,24.960823666585448,53715400
2000-04-20,24.194549560546875,24.48189575485266,23.75395206261134,24.09876749577828,52387400
2000-04-24,20.420740127563477,20.84218129342314,19.92267329518388,20.612304293863325,313645800
2000-04-25,21.263622283935547,21.301935116879577,20.727242622719157,21.072058119215406,159517400
2000-04-26,20.842182159423828,21.800003030720877,20.650617985164416,21.45518751705394,107091200
2000-04-27,21.397724151611328,21.43603699700365,20.65062366646107,20.66978008915723,77669800
2000-04-28,21.378564834594727,21.761693236648394,20.918810752130323,21.68506755623766,78082600
